Word,Word,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency
STRAIGHTJACKET,STRAIGHTJACKET,69,10,79,6,0.9024390243902439,0.07058823529411765,0.8734177215189873,0.5517241379310345,29.0,1.148148148148148,27.0,STRAIGHTJACKET,STRAIGHTJACKET,4.25,4.68,4.55172413793103,4.82142857142857,1.60714285714286,n,1,2,0.9031,0.8451,-16.180015079467488
EXORCISM,EXORCISM,75,11,89,5,0.9111111111111111,0.05319148936170213,0.872093023255814,0.5454545454545454,22.0,1.1851851851851851,27.0,EXORCISM,EXORCISM,4.40909090909091,2.24,4.66666666666667,3.57692307692308,1.5,n,1,2,1.9823,1.4771,-14.120939592531537
HOODIE,HOODIE,68,10,76,10,0.8780487804878049,0.11627906976744186,0.8717948717948718,1.619047619047619,21.0,1.2692307692307692,26.0,HOODIE,HOODIE,2.22727272727273,4.72,4.875,4.88461538461539,3.5,,0,0,1.0414,0.9542,-14.355465821555208
CONCESSION,CONCESSION,61,9,53,25,0.7702702702702703,0.32051282051282054,0.8714285714285714,2.458333333333333,24.0,1.8571428571428568,28.0,CONCESSION,CONCESSION,2.72,2.44,4.75,2.69230769230769,3.11111111111111,n,3,6,1.8451,1.7709,-12.467298511284994
DOMINATRIX,DOMINATRIX,81,12,96,4,0.917098445595855,0.04,0.8709677419354839,0.7619047619047619,21.0,1.0,27.0,DOMINATRIX,DOMINATRIX,4.5,3.84,3.92592592592593,4.44444444444444,2.51851851851852,n,1,1,1.3617,1.2553,-15.5523824879135
YEN,YEN,74,11,85,7,0.8983050847457628,0.07608695652173914,0.8705882352941177,0.9047619047619048,21.0,1.2916666666666667,24.0,YEN,YEN,2.71428571428571,3.65384615384615,3.83333333333333,3.53846153846154,3.4,n,3,8,2.4955,2.0,-12.725334726486054
GONZO,GONZO,67,10,64,19,0.81875,0.2289156626506024,0.8701298701298701,0.7647058823529411,17.0,1.4545454545454546,22.0,GONZO,GONZO,3.29166666666667,2.44,3.25925925925926,3.22222222222222,3.07692307692308,s,1,10,2.0043,1.3424,-15.83963066379422
KETCHUP,KETCHUP,67,10,80,5,0.9074074074074074,0.058823529411764705,0.8701298701298701,0.3103448275862069,29.0,1.0,27.0,KETCHUP,KETCHUP,2.1304347826087,4.88,5.0,4.88888888888889,3.53571428571429,n,1,4,2.4928,2.281,-13.790525332545268
SUPERMAN,SUPERMAN,73,11,86,6,0.9034090909090909,0.06521739130434782,0.8690476190476191,0.238095238095238,21.0,1.5,26.0,SUPERMAN,SUPERMAN,4.18181818181818,3.80769230769231,4.66666666666667,4.92307692307692,4.42307692307692,n,2,15,2.7952,2.2201,-13.16212165178007
CAVALRY,CAVALRY,53,8,47,19,0.7874015748031497,0.2878787878787879,0.8688524590163934,1.2173913043478262,23.0,1.7407407407407407,27.0,CAVALRY,CAVALRY,3.40909090909091,4.03846153846154,4.70833333333333,4.12,2.84615384615385,n,2,4,2.5024,2.2718,-11.693381295819885
WEIRDO,WEIRDO,71,11,79,10,0.8771929824561403,0.11235955056179775,0.8658536585365854,4.0344827586206895,29.0,1.1111111111111112,27.0,WEIRDO,WEIRDO,3.625,2.48,4.63333333333333,2.96428571428571,1.85714285714286,n,2,10,2.2122,2.1239,-15.127893827745082
