word,WORD,SyntCat,Category,hits,misses,false_alarms,correct_rejections,log_freqs,log_word_len,Article,Word,X,Input.trial_,Experiment.x,meanings,meanings_n,Experiment.y,num_synonyms,syn_n,arousal,concrete,fam,image,valence,NgramFreqArticle,NgramFreqNoArticle,num_syn,r.given.w,w.given.r,Acc,false_alarm_rate,hit_rate
AN ALMOND,an ALMOND,NOUN,food,55,29,7,86,0.37564,0.40083,an,ALMOND,66,AN ALMOND,mm_mar_2013,1.12,25,mm_mar_2013,0.6,20,1.73913043478261,4.76190476190476,5,4.69230769230769,3.75,-16.117924743924803,-12.625625690740794,1.6,0.8928571428571428,0.625,0.7966101694915254,0.07526881720430108,0.6547619047619048
AN AMATEUR,an AMATEUR,NOUN,people,62,27,9,87,0.57273,0.45707,an,AMATEUR,64,AN AMATEUR,mm_mar_2013,1.23076923076923,26,mm_mar_2013,2.66666666666667,24,2.69565217391304,3.04166666666667,4.76190476190476,1.83333333333333,2.8,-13.911828913749789,-12.143968411867496,3.66666666666667,0.8125000000000006,0.2727272727272725,0.8054054054054054,0.09375,0.6966292134831461
AN AMBASSADOR,an AMBASSADOR,NOUN,people,71,11,25,64,0.47781,0.58721,an,AMBASSADOR,70,AN AMBASSADOR,mm_mar_2013,1.44444444444444,27,mm_mar_2013,1.78260869565217,23,2.44,3.92307692307692,4.72,3.11111111111111,3.4,-14.678317148387348,-11.570795205312837,2.7826086956521703,0.6923076923076944,0.35937500000000044,0.7894736842105263,0.2808988764044944,0.8658536585365854
AN AMPHIBIAN,an AMPHIBIAN,NOUN,living things,66,20,6,97,0.34351,0.54877,an,AMPHIBIAN,74,AN AMPHIBIAN,mm_mar_2013,1.33333333333333,30,mm_mar_2013,0.72,25,2.72727272727273,4.17241379310345,4.46666666666667,4.15384615384615,3.13333333333333,-16.898232102416795,-14.080950262027255,1.72,0.7500000000000019,0.5813953488372093,0.8624338624338624,0.05825242718446602,0.7674418604651163
AN ANALGESIC,an ANALGESIC,NOUN,medicine,54,16,6,75,0.40251,0.54877,an,ANALGESIC,73,AN ANALGESIC,mm_mar_2013,1.13636363636364,22,mm_mar_2013,1.15,20,2.04545454545455,3.48148148148148,3.57142857142857,2.21428571428571,2.84615384615385,-15.689627130134326,-13.127237076059197,2.15,0.8799999999999971,0.46511627906976744,0.8543046357615894,0.07407407407407407,0.7714285714285715
AN ANALYST,an ANALYST,NOUN,people,45,16,11,58,0.56039,0.45707,an,ANALYST,67,AN ANALYST,mm_mar_2013,1.28,25,mm_mar_2013,1.85,20,2.43478260869565,4.1,4.79310344827586,2.46153846153846,2.96428571428571,-14.285190530925927,-11.481015825017902,2.85,0.78125,0.3508771929824561,0.7923076923076923,0.15942028985507245,0.7377049180327869
AN ANEMONE,an ANEMONE,NOUN,living things,42,17,2,63,0.28897,0.45707,an,ANEMONE,71,AN ANEMONE,mm_mar_2013,1.22727272727273,22,mm_mar_2013,0.5,20,2.24,4.12,3.15384615384615,3.46153846153846,3.26666666666667,-18.206683931838395,-14.926555495723289,1.5,0.814814814814813,0.6666666666666666,0.8467741935483871,0.03076923076923077,0.711864406779661
AN ANTAGONIST,an ANTAGONIST,NOUN,people,46,23,17,60,0.4107,0.58721,an,ANTAGONIST,56,AN ANTAGONIST,mm_mar_2013,1.125,24,mm_mar_2013,1.86363636363636,22,3.9047619047619,3.03703703703704,4.64285714285714,2.27586206896552,1.84615384615385,-15.256926403690729,-12.512934024599748,2.8636363636363598,0.8888888888888888,0.3492063492063497,0.726027397260274,0.22077922077922077,0.6666666666666666
AN ANTELOPE,an ANTELOPE,NOUN,living things,45,31,7,77,0.35715,0.50579,an,ANTELOPE,72,AN ANTELOPE,mm_mar_2013,1.03703703703704,27,mm_mar_2013,0.681818181818182,22,2.84,4.8,4.65384615384615,4.74074074074074,3.55172413793103,-16.250754906441855,-13.820571425277942,1.681818181818182,0.9642857142857114,0.5945945945945945,0.7625,0.08333333333333333,0.5921052631578947
AN ANTIBIOTIC,an ANTIBIOTIC,NOUN,medicine,61,24,18,75,0.49274,0.58721,an,ANTIBIOTIC,68,AN ANTIBIOTIC,mm_mar_2013,1.11111111111111,27,mm_mar_2013,0.8,25,2.39130434782609,4.25925925925926,4.82142857142857,3,3.4,-14.764911314649606,-12.095587427790795,1.8,0.9000000000000009,0.5555555555555556,0.7640449438202247,0.1935483870967742,0.7176470588235294
