,Word,Word.1,hits,misses,correct rejections,false alarms,acc,false_alarm_rate,hit_rate,num_synonyms,num_ratings_synonyms,num_meanings,num_ratings_meanings,word_upper,word,arousal,concrete,fam,image,valence,pos,num_meanings_wordnet,num_synonyms_wordnet,Lg10WF,Lg10CD,google_ngram_frequency,LgTV_T=1700,LgDF,orth_neighborhood,phon_neighborhood,log_orth_neighborhood,log_phon_neighborhood,GloVe distinctiveness
10,PROSTITUTES,PROSTITUTES,68,6,64,13,0.8741721854304636,0.1688311688311688,0.918918918918919,3.863636363636364,22.0,1.5714285714285714,28.0,PROSTITUTES,PROSTITUTES,4.09090909090909,4.42307692307692,4.70833333333333,4.53846153846154,2.03846153846154,n,2,13,2.1673,2.0294,-12.618813104505804,1.998096,2.833213,1.0,1.0,0.6931471805599453,0.6931471805599453,0.11883128371750094
11,MONTGOMERY,MONTGOMERY,76,7,83,8,0.913793103448276,0.0879120879120879,0.9156626506024096,0.1052631578947368,19.0,1.3846153846153846,26.0,MONTGOMERY,MONTGOMERY,2.47826086956522,3.85185185185185,3.5,2.79166666666667,3.21428571428571,n,3,9,2.49,1.9777,-12.022423844904996,2.084636,3.583519,0.0,0.0,0.0,0.0,0.10931254473206611
12,HELLHOLE,HELLHOLE,64,6,69,5,0.9236111111111112,0.0675675675675675,0.9142857142857144,2.782608695652174,23.0,1.1851851851851851,27.0,HELLHOLE,HELLHOLE,3.84,2.04,4.64285714285714,3.19230769230769,1.14285714285714,n,1,6,1.8976,1.8573,-15.466497546459648,,,0.0,0.0,0.0,0.0,0.08922820262434024
13,HOOTERS,HOOTERS,72,7,73,13,0.8787878787878788,0.1511627906976744,0.9113924050632912,2.56,25.0,2.2758620689655173,29.0,HOOTERS,HOOTERS,3.27272727272727,3.69230769230769,4.37931034482759,4.40740740740741,3.17241379310345,n,3,17,2.0755,1.8261,-16.199409261460847,,,4.0,8.0,1.6094379124341005,2.19722457733622,0.10201669612295135
14,GARGOYLES,GARGOYLES,72,7,73,8,0.90625,0.0987654320987654,0.9113924050632912,0.8,20.0,1.5185185185185186,27.0,GARGOYLES,GARGOYLES,3.59090909090909,4.52,4.375,4.73076923076923,2.46153846153846,n,2,2,1.3617,1.1461,-15.043805493564427,,,1.0,1.0,0.6931471805599453,0.6931471805599453,0.09620233824991782
15,SOLOMON,SOLOMON,70,7,72,13,0.8765432098765432,0.1529411764705882,0.9090909090909092,0.0434782608695652,23.0,1.148148148148148,27.0,SOLOMON,SOLOMON,2.31818181818182,3.65384615384615,3.75862068965517,3.0,3.10344827586207,n,1,1,2.1931,1.8195,-11.549141511022244,2.327278,3.610918,0.0,0.0,0.0,0.0,0.10821558311889498
16,HEMORRHAGING,HEMORRHAGING,70,7,71,15,0.8650306748466258,0.1744186046511628,0.9090909090909092,1.6666666666666667,18.0,1.3333333333333333,27.0,HEMORRHAGING,HEMORRHAGING,4.25,3.24,4.44444444444444,3.75,1.14285714285714,v,1,3,1.8451,1.7924,-15.33892108598683,,,0.0,0.0,0.0,0.0,0.08630778044236892
17,UNICORN,UNICORN,70,7,73,8,0.9050632911392406,0.0987654320987654,0.9090909090909092,0.08,25.0,1.0769230769230769,26.0,UNICORN,UNICORN,3.68181818181818,3.8,4.78571428571429,4.92,4.25,n,1,1,2.1038,1.5798,-13.67098605950053,0.916291,1.791759,1.0,1.0,0.6931471805599453,0.6931471805599453,0.12941856796666387
18,YAHOO,YAHOO,78,8,88,4,0.9325842696629212,0.0434782608695652,0.9069767441860463,0.925925925925926,27.0,1.9655172413793105,29.0,YAHOO,YAHOO,3.5,3.15384615384615,4.68965517241379,2.96296296296296,3.44827586206897,n,3,9,2.1761,1.9912,-14.251059739948277,,,0.0,0.0,0.0,0.0,0.096110379959649
19,POTBELLY,POTBELLY,67,7,74,2,0.94,0.0263157894736842,0.9054054054054054,1.8636363636363635,22.0,1.5384615384615383,26.0,POTBELLY,POTBELLY,2.5,3.5,4.58333333333333,4.53846153846154,2.38461538461538,n,2,7,0.7782,0.7782,-16.242279753020846,,,,,,,0.07241734877042137
