,word_upper,word_lower,syntactic_category,semantic_category,acc,hits,misses,correct.rejections,false.alarms,# meanings (human),# synonyms (human),Google n-gram frequency,Google n-gram frequency no article,Arousal,Concreteness,Familiarity,Imageability,Valence,# subjects (human) meanings,1/# meanings (human),# subjects (human) synonyms,# synonyms (human) + 1,1/# synonyms (human),experiment_date,input_trial,article,word_no_article_upper,word_no_article_lower,multi_word,false.alarm.rate,hit.rate
848,ELI,eli,NOUN,common names,0.8496732026143791,51,22,79,1,1.08333333333333,0.0,-12.223800189005509,-12.223800189005509,2.64,3.5,3.65384615384615,2.3703703703703702,3.2666666666666697,24,0.9230769230769259,21,1.0,1.0,mm_mar_2013,ELI,,ELI,eli,0.0,0.0125,0.6986301369863014
849,ELIZABETH I,elizabeth i,NOUN,famous people,0.8719512195121951,61,19,82,2,1.07142857142857,0.08,-14.354663469492225,-14.354663469492225,2.6363636363636402,4.58620689655172,3.2,4.15384615384615,3.1666666666666696,28,0.9333333333333346,25,1.08,0.9259259259259258,mm_mar_2013,ELIZABETH I,,ELIZABETH I,elizabeth i,1.0,0.023809523809523808,0.7625
850,EMANUEL,emanuel,NOUN,common names,0.7552447552447552,45,23,63,12,1.3703703703703702,0.0769230769230769,-13.623307888408007,-13.623307888408007,2.40909090909091,3.84615384615385,3.25,2.14285714285714,3.38461538461538,27,0.7297297297297299,26,1.0769230769230769,0.9285714285714286,mm_mar_2013,EMANUEL,,EMANUEL,emanuel,0.0,0.16,0.6617647058823529
851,EMBARRASSING,embarrassing,ADJ,,0.7403314917127072,62,26,72,21,1.12,2.34615384615385,-12.269810768944971,-12.269810768944971,3.4782608695652204,1.64,4.8846153846153895,2.3333333333333304,1.85714285714286,25,0.8928571428571428,26,3.34615384615385,0.29885057471264337,mm_mar_2013,EMBARRASSING,,EMBARRASSING,embarrassing,0.0,0.2258064516129032,0.7045454545454546
852,EMERGENT,emergent,ADJ,,0.6948051948051948,36,37,71,10,1.35714285714286,2.38095238095238,-12.084329955764115,-12.084329955764115,3.45,2.08695652173913,3.5862068965517206,1.88,3.14285714285714,28,0.7368421052631563,21,3.3809523809523796,0.29577464788732405,mm_mar_2013,EMERGENT,,EMERGENT,emergent,0.0,0.12345679012345677,0.4931506849315068
853,EMERY,emery,NOUN,common names,0.8015267175572519,46,18,59,8,1.3913043478260902,0.33333333333333304,-13.397302478781814,-13.397302478781814,2.52380952380952,3.7826086956521703,2.37931034482759,2.28,3.14285714285714,23,0.7187499999999984,15,1.333333333333333,0.7500000000000002,mm_mar_2013,EMERY,,EMERY,emery,0.0,0.11940298507462685,0.71875
854,EMILE,emile,NOUN,common names,0.8343949044585988,55,21,76,5,1.23529411764706,0.0555555555555556,-13.366872709946668,-13.366872709946668,2.7391304347826098,4.25,2.45454545454545,2.36,3.06666666666667,17,0.8095238095238088,18,1.0555555555555556,0.9473684210526316,mm_mar_2013,EMILE,,EMILE,emile,0.0,0.061728395061728385,0.7236842105263158
855,EMILIANO ZAPATA,emiliano zapata,NOUN,famous people,0.8483146067415731,60,26,91,1,1.0,0.0,-16.88875331257659,-16.88875331257659,2.4,4.769230769230769,1.92307692307692,2.8518518518518503,3.1,18,1.0,15,1.0,1.0,mm_mar_2013,EMILIANO ZAPATA,,EMILIANO ZAPATA,emiliano zapata,1.0,0.010869565217391304,0.6976744186046512
856,EMILY,emily,NOUN,common names,0.7571428571428571,51,19,55,15,1.04,0.0,-11.046344122733615,-11.046344122733615,2.47619047619048,3.44444444444444,4.03571428571429,2.1724137931034497,3.38461538461538,25,0.9615384615384616,20,1.0,1.0,mm_mar_2013,EMILY,,EMILY,emily,0.0,0.21428571428571427,0.7285714285714285
857,EMINEM,eminem,NOUN,famous people,0.9387755102040816,63,7,75,2,1.04166666666667,0.19047619047619,-15.615706519613214,-15.615706519613214,3.7826086956521703,5.0,4.48275862068965,4.846153846153849,3.28571428571429,24,0.9599999999999967,21,1.19047619047619,0.8400000000000003,mm_mar_2013,EMINEM,,EMINEM,eminem,0.0,0.025974025974025976,0.9
858,ENERGETIC,energetic,ADJ,,0.6838709677419355,38,36,68,13,1.3703703703703702,3.91304347826087,-12.029460263925595,-12.029460263925595,4.32,2.28,4.769230769230769,2.51851851851852,4.43333333333333,27,0.7297297297297299,23,4.91304347826087,0.20353982300884954,mm_mar_2013,ENERGETIC,,ENERGETIC,energetic,0.0,0.16049382716049382,0.5135135135135135
859,ENORMOUS,enormous,ADJ,,0.6783625730994152,30,51,86,4,1.13333333333333,4.42307692307692,-10.70831719394132,-10.70831719394132,4.09090909090909,2.20689655172414,4.7,3.19230769230769,3.1,30,0.8823529411764732,26,5.423076923076921,0.18439716312056748,mm_mar_2013,ENORMOUS,,ENORMOUS,enormous,0.0,0.04444444444444445,0.3703703703703704
860,ENTICING,enticing,ADJ,,0.6900584795321637,42,41,76,12,1.33333333333333,3.11111111111111,-13.387130673449084,-13.387130673449084,4.545454545454549,1.6896551724137898,4.4666666666666694,1.88,4.2,30,0.7500000000000019,27,4.11111111111111,0.2432432432432433,mm_mar_2013,ENTICING,,ENTICING,enticing,0.0,0.13636363636363635,0.5060240963855421
861,EQUABLE,equable,ADJ,,0.725,34,41,82,3,1.375,2.3076923076923097,-15.69864340927629,-15.69864340927629,2.3636363636363598,1.37931034482759,2.7666666666666697,1.42307692307692,3.6551724137931,16,0.7272727272727273,13,3.30769230769231,0.3023255813953486,mm_mar_2013,EQUABLE,,EQUABLE,equable,0.0,0.035294117647058816,0.4533333333333333
862,ERIC,eric,NOUN,common names,0.8166666666666667,67,20,80,13,1.0434782608695699,0.0,-11.043858096714953,-11.043858096714953,2.3333333333333304,3.3703703703703702,4.071428571428569,2.1379310344827602,3.15384615384615,23,0.9583333333333288,20,1.0,1.0,mm_mar_2013,ERIC,,ERIC,eric,0.0,0.13978494623655913,0.7701149425287356
863,ERMA,erma,NOUN,common names,0.8057553956834532,45,21,67,6,1.0,0.0,-15.576932710326297,-15.576932710326297,2.25,3.44444444444444,3.21428571428571,1.93103448275862,3.07692307692308,17,1.0,14,1.0,1.0,mm_mar_2013,ERMA,,ERMA,erma,0.0,0.0821917808219178,0.6818181818181818
864,EROTIC,erotic,ADJ,,0.8503401360544217,52,18,73,4,1.48,2.85,-11.883327170220449,-11.883327170220449,4.65217391304348,1.5,4.72413793103448,3.0,4.296296296296299,25,0.6756756756756757,20,3.85,0.2597402597402597,mm_mar_2013,EROTIC,,EROTIC,erotic,0.0,0.05194805194805195,0.7428571428571429
865,ERWIN SCHRODINGER,erwin schrodinger,NOUN,famous people,0.7769784172661871,38,28,70,3,1.0,0.0,-18.161466325904073,-18.161466325904073,3.17391304347826,4.7407407407407405,2.53571428571429,3.68965517241379,3.07692307692308,23,1.0,23,1.0,1.0,mm_mar_2013,ERWIN SCHRODINGER,,ERWIN SCHRODINGER,erwin schrodinger,1.0,0.0410958904109589,0.5757575757575758
866,ETHEL,ethel,NOUN,common names,0.8238341968911918,64,27,95,7,1.28,0.14285714285714302,-13.125309515227046,-13.125309515227046,2.5,3.3448275862069,2.6666666666666696,2.80769230769231,3.0,25,0.78125,21,1.1428571428571432,0.8749999999999999,mm_mar_2013,ETHEL,,ETHEL,ethel,0.0,0.06862745098039216,0.7032967032967034
867,EUROPE,europe,NOUN,earth formation,0.8376623376623377,58,16,71,9,1.04,0.34782608695652195,-9.323232861797337,-9.323232861797337,3.95652173913043,4.66666666666667,4.454545454545451,4.41666666666667,3.7241379310344795,25,0.9615384615384616,23,1.347826086956522,0.7419354838709676,mm_mar_2013,EUROPE,,EUROPE,europe,0.0,0.1125,0.7837837837837838
868,EVA,eva,NOUN,common names,0.8235294117647058,57,24,83,6,1.23076923076923,0.0,-11.923002218606804,-11.923002218606804,2.9523809523809503,3.7391304347826098,3.37931034482759,2.44,3.53571428571429,26,0.8125000000000006,16,1.0,1.0,mm_mar_2013,EVA,,EVA,eva,0.0,0.06741573033707865,0.7037037037037037
869,EVASIVE,evasive,ADJ,,0.7283236994219653,48,35,78,12,1.32142857142857,2.5652173913043503,-13.727329274115274,-13.727329274115274,3.14285714285714,2.21739130434783,4.46428571428571,2.04,2.0714285714285703,28,0.7567567567567576,23,3.56521739130435,0.28048780487804864,mm_mar_2013,EVASIVE,,EVASIVE,evasive,0.0,0.13333333333333333,0.5783132530120482
870,EXAGGERATED,exaggerated,ADJ,,0.6879432624113475,39,30,58,14,1.4,2.9,-11.938789235293026,-11.938789235293026,3.95652173913043,1.75,4.89655172413793,1.7692307692307698,2.46428571428571,25,0.7142857142857143,20,3.9,0.25641025641025644,mm_mar_2013,EXAGGERATED,,EXAGGERATED,exaggerated,0.0,0.19444444444444445,0.5652173913043478
